,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality,wbEconomy,wbCode,wbRegion,wbIncome_group,wbLending category,wbOther (EMU or HIPC)
5102,AUT,Europe,Austria,2021-06-15,648849.0,117.0,218.143,10668.0,6.0,3.0,72043.103,12.991,24.221,1184.491,0.6659999999999999,0.33299999999999996,0.6,94.0,10.437000000000001,205.0,22.761999999999997,,,,,354433.0,48813163.0,5419.831,39.353,404308.0,44.891000000000005,0.001,1853.4,tests performed,6466206.0,4302688.0,2246808.0,86098.0,86999.0,71.8,47.77,24.95,9660.0,60.19,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,,Austria,AUT,Europe & Central Asia,1_High income,,EMU
5596,AZE,Asia,Azerbaijan,2021-06-15,335264.0,68.0,59.286,4958.0,3.0,1.571,33066.201,6.707000000000001,5.847,488.994,0.29600000000000004,0.155,0.53,,,,,,,,,5074.0,3627573.0,357.778,0.5,7879.0,0.777,0.008,132.9,tests performed,2816346.0,1842954.0,973392.0,40705.0,32848.0,27.78,18.18,9.6,3240.0,69.44,10139175.0,119.309,32.4,6.018,3.8710000000000004,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.7559999999999999,,Azerbaijan,AZE,Europe & Central Asia,2_Upper middle income,IBRD,
6075,BHS,North America,Bahamas,2021-06-15,12225.0,26.0,28.714000000000002,239.0,2.0,1.0,31087.252999999997,66.116,73.018,607.759,5.086,2.543,1.09,,,,,,,,,,,,,,,,,,,,,,1219.0,,,,3100.0,56.94,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.8140000000000001,,"Bahamas, The",BHS,Latin America & Caribbean,1_High income,,
6575,BHR,Asia,Bahrain,2021-06-15,260334.0,811.0,922.143,1246.0,10.0,12.142999999999999,152995.182,476.615,541.932,732.2589999999999,5.877000000000001,7.136,0.6,,,,,,,,,14569.0,4831727.0,2839.548,8.562000000000001,12677.0,7.45,0.073,13.7,units unclear,1905340.0,1032832.0,872508.0,5788.0,7928.0,111.97,60.7,51.28,4659.0,62.96,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,,Bahrain,BHR,Middle East & North Africa,1_High income,,
7067,BGD,Asia,Bangladesh,2021-06-15,833291.0,3319.0,2572.714,13222.0,50.0,44.143,5059.774,20.153,15.622,80.28399999999999,0.304,0.268,1.38,,,,,,,,,23265.0,6207676.0,37.693000000000005,0.141,18765.0,0.114,0.13699999999999998,7.3,tests performed,,,,,4044.0,,,,25.0,72.22,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,Bangladesh,BGD,South Asia,3_Lower middle income,IDA,
7545,BRB,North America,Barbados,2021-06-15,4038.0,1.0,0.857,47.0,0.0,0.0,14051.521999999999,3.48,2.983,163.55200000000002,0.0,0.0,0.86,,,,,,,,,,,,,,,,,,152293.0,89197.0,63096.0,1289.0,904.0,53.0,31.04,21.96,3146.0,58.33,287371.0,664.4630000000001,39.8,14.952,9.472999999999999,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.8140000000000001,,Barbados,BRB,Latin America & Caribbean,1_High income,,
8041,BLR,Europe,Belarus,2021-06-15,406861.0,501.0,834.571,2995.0,8.0,9.429,43057.168,53.02,88.321,316.954,0.847,0.998,0.9,,,,,,,,,,,,,15301.0,1.619,0.055,18.3,tests performed,,,,,,,,,,43.52,9449321.0,46.858000000000004,40.3,14.799000000000001,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,,Belarus,BLR,Europe & Central Asia,2_Upper middle income,IBRD,
8561,BEL,Europe,Belgium,2021-06-15,1077087.0,508.0,701.7139999999999,25099.0,6.0,6.857,92935.521,43.832,60.547,2165.646,0.518,0.5920000000000001,0.63,256.0,22.089000000000002,651.0,56.17100000000001,,,,,47118.0,14674002.0,1266.134,4.066,39374.0,3.397,0.02,50.0,tests performed,9000111.0,5860338.0,3323974.0,150815.0,151086.0,77.66,50.57,28.68,13036.0,50.93,11589616.0,375.564,41.8,18.570999999999998,12.849,42658.575999999994,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.9309999999999999,,Belgium,BEL,Europe & Central Asia,1_High income,,EMU
9033,BLZ,North America,Belize,2021-06-15,12989.0,18.0,11.429,326.0,0.0,0.14300000000000002,32666.786,45.269,28.741999999999997,819.8760000000001,0.0,0.359,1.35,,,,,,,,,,142646.0,358.749,,639.0,1.607,0.018000000000000002,55.9,tests performed,93451.0,74278.0,19173.0,,1215.0,23.5,18.68,4.82,3056.0,62.04,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,176.957,17.11,,,90.083,1.3,74.62,0.716,,Belize,BLZ,Latin America & Caribbean,3_Lower middle income,IBRD,
9512,BEN,Africa,Benin,2021-06-15,8140.0,31.0,8.286,103.0,1.0,0.14300000000000002,671.44,2.557,0.6829999999999999,8.496,0.08199999999999999,0.012,0.45,,,,,,,,,,,,,,,,,,,,,,974.0,,,,80.0,27.78,12123198.0,99.11,18.8,3.2439999999999998,1.942,2064.236,49.6,235.84799999999998,0.99,0.6,12.3,11.035,0.5,61.77,0.545,,Benin,BEN,Sub-Saharan Africa,3_Lower middle income,IDA,HIPC
9691,BMU,North America,Bermuda,2021-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.0,,,,4272.0,47.22,62273.0,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,,,Bermuda,BMU,North America,1_High income,,
10176,BTN,Asia,Bhutan,2021-06-15,1842.0,16.0,16.857,1.0,0.0,0.0,2387.21,20.736,21.846999999999998,1.296,0.0,0.0,1.02,,,,,,,,,,,,,,,,,,,,,,85.0,,,,110.0,65.28,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,217.06599999999997,9.75,,,79.807,1.7,71.78,0.654,,Bhutan,BTN,South Asia,3_Lower middle income,IDA,
10660,BOL,South America,Bolivia,2021-06-15,411677.0,2571.0,2671.7140000000004,15738.0,124.0,80.143,35267.367,220.25099999999998,228.87900000000002,1348.236,10.623,6.8660000000000005,0.96,,,,,,,,,,,,,13210.0,1.1320000000000001,0.20199999999999999,4.9,tests performed,2117222.0,1572351.0,544871.0,,29689.0,18.14,13.47,4.67,2543.0,,11673029.0,10.202,25.4,6.704,4.393,6885.829000000001,7.1,204.299,6.89,,,25.383000000000003,1.1,71.51,0.718,,Bolivia,BOL,Latin America & Caribbean,3_Lower middle income,IBRD,HIPC
11150,BIH,Europe,Bosnia and Herzegovina,2021-06-15,204697.0,29.0,34.571,9534.0,39.0,10.571,62392.119000000006,8.839,10.537,2905.985,11.887,3.222,0.64,,,,,,,,,2019.0,1006995.0,306.934,0.615,1764.0,0.5379999999999999,0.02,51.0,tests performed,,,,,6474.0,,,,1973.0,37.04,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,,Bosnia and Herzegovina,BIH,Europe & Central Asia,2_Upper middle income,IBRD,
11615,BWA,Africa,Botswana,2021-06-15,61457.0,0.0,480.286,926.0,0.0,5.857,26133.843999999997,0.0,204.236,393.77,0.0,2.491,1.39,,,,,,,,,,,,,,,,,,,,,,3926.0,,,,1669.0,64.81,2351625.0,4.044,25.8,3.9410000000000003,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,,Botswana,BWA,Sub-Saharan Africa,2_Upper middle income,IBRD,
12113,BRA,South America,Brazil,2021-06-15,17533221.0,80609.0,70870.286,490696.0,2468.0,1986.286,82486.214,379.23,333.414,2308.512,11.610999999999999,9.345,1.04,,,,,,,,,,,,,,,,,,80268207.0,56479200.0,23789007.0,1361982.0,927995.0,37.76,26.57,11.19,4366.0,60.65,212559409.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999998,8.11,10.1,17.9,,2.2,75.88,0.765,,Brazil,BRA,Latin America & Caribbean,2_Upper middle income,IBRD,
12161,VGB,North America,British Virgin Islands,2021-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,,,,5292.0,,30237.0,207.97299999999998,,,,,,,13.67,,,,,79.07,,,British Virgin Islands,VGB,Latin America & Caribbean,1_High income,,
12642,BRN,Asia,Brunei,2021-06-15,250.0,2.0,0.5710000000000001,3.0,0.0,0.0,571.451,4.572,1.306,6.857,0.0,0.0,0.55,,,,,,,,,,,,,,,,,,,,,,716.0,,,,1637.0,40.74,437483.0,81.347,32.4,4.591,2.3819999999999997,71809.25099999999,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,,Brunei Darussalam,BRN,East Asia & Pacific,1_High income,,
13129,BGR,Europe,Bulgaria,2021-06-15,420654.0,161.0,113.571,17932.0,17.0,10.286,60539.301,23.171,16.345,2580.721,2.447,1.48,0.73,242.0,34.828,2239.0,322.23,,,,,17860.0,3000226.0,431.784,2.57,11728.0,1.6880000000000002,0.01,103.3,tests performed,1602136.0,888892.0,713244.0,15458.0,14515.0,23.06,12.79,10.26,2089.0,62.96,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,75.05,0.816,,Bulgaria,BGR,Europe & Central Asia,2_Upper middle income,IBRD,
13614,BFA,Africa,Burkina Faso,2021-06-15,13459.0,0.0,0.7140000000000001,167.0,0.0,0.0,643.87,0.0,0.034,7.989,0.0,0.0,0.78,,,,,,,,,,,,,,,,,,,,,,1770.0,,,,85.0,25.0,20903278.0,70.15100000000001,17.6,2.4090000000000003,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,,Burkina Faso,BFA,Sub-Saharan Africa,4_Low income,IDA,HIPC
14078,BDI,Africa,Burundi,2021-06-15,5037.0,11.0,16.0,8.0,0.0,0.0,423.605,0.925,1.3459999999999999,0.6729999999999999,0.0,0.0,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,15.74,11890781.0,423.06199999999995,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,,Burundi,BDI,Sub-Saharan Africa,4_Low income,IDA,HIPC
14606,KHM,Asia,Cambodia,2021-06-15,39464.0,495.0,564.714,361.0,13.0,11.857000000000001,2360.4320000000002,29.607,33.777,21.592,0.778,0.7090000000000001,1.07,,,,,,,,,9649.0,1253563.0,74.97800000000001,0.5770000000000001,7451.0,0.446,0.076,13.2,tests performed,5667915.0,3076775.0,2591140.0,130377.0,94619.0,33.9,18.4,15.5,5659.0,72.69,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,,Cambodia,KHM,East Asia & Pacific,3_Lower middle income,IDA,
15095,CMR,Africa,Cameroon,2021-06-15,80090.0,0.0,26.570999999999998,1310.0,0.0,1.143,3017.0429999999997,0.0,1.001,49.349,0.0,0.043,0.38,,,,,,,,,,,,,,,,,,,,,,1440.0,,,,54.0,29.63,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.66099999999997,7.2,,,2.735,1.3,59.29,0.563,,Cameroon,CMR,Sub-Saharan Africa,3_Lower middle income,Blend,HIPC
15624,CAN,North America,Canada,2021-06-15,1411652.0,824.0,1238.4289999999999,25943.0,22.0,24.143,37402.526,21.831999999999997,32.813,687.375,0.583,0.64,0.66,624.0,16.533,1429.0,37.861999999999995,,,,,45284.0,35830746.0,949.3560000000001,1.2,66628.0,1.765,0.019,53.8,tests performed,29917852.0,24677550.0,5240302.0,447106.0,437458.0,79.27,65.38,13.88,11591.0,73.61,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,,2.5,82.43,0.929,,Canada,CAN,North America,1_High income,,
16099,CPV,Africa,Cape Verde,2021-06-15,31704.0,57.0,68.429,276.0,0.0,1.0,57022.812999999995,102.52,123.07600000000001,496.414,0.0,1.7990000000000002,0.78,,,,,,,,,791.0,,,1.423,,,,,tests performed,47943.0,,,3001.0,1928.0,8.62,,,3468.0,,555988.0,135.58,25.7,4.46,3.437,6222.554,,182.21900000000002,2.42,2.1,16.5,,2.1,72.98,0.665,,Cabo Verde,CPV,Sub-Saharan Africa,3_Lower middle income,Blend,
16293,CYM,North America,Cayman Islands,2021-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,1369.0,,65720.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,Cayman Islands,CYM,Latin America & Caribbean,1_High income,,
16773,CAF,Africa,Central African Republic,2021-06-15,7101.0,0.0,0.0,98.0,0.0,0.0,1470.2579999999998,0.0,0.0,20.291,0.0,0.0,0.29,,,,,,,,,,,,,,,,,,42644.0,42644.0,,12887.0,2300.0,0.88,0.88,,476.0,11.11,4829764.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.602999999999998,1.0,53.28,0.397,,Central African Republic,CAF,Sub-Saharan Africa,4_Low income,IDA,HIPC
17249,TCD,Africa,Chad,2021-06-15,4943.0,0.0,0.14300000000000002,174.0,0.0,0.0,300.928,0.0,0.009000000000000001,10.593,0.0,0.0,0.65,,,,,,,,,,,,,,,,,,,,,,281.0,,,,17.0,25.0,16425859.0,11.833,16.7,2.4859999999999998,1.446,1768.1529999999998,38.4,280.995,6.1,,,5.818,,54.24,0.39799999999999996,,Chad,TCD,Sub-Saharan Africa,4_Low income,IDA,HIPC
17750,CHL,South America,Chile,2021-06-15,1487239.0,4576.0,6688.857,30865.0,61.0,108.714,77799.892,239.378,349.905,1614.598,3.1910000000000003,5.687,0.91,,,,,,,,,46235.0,15791048.0,826.055,2.419,65320.0,3.417,0.091,11.0,tests performed,20883945.0,11841756.0,9251234.0,209793.0,148378.0,109.25,61.95,48.39,7762.0,84.72,19116209.0,24.281999999999996,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,,Chile,CHL,Latin America & Caribbean,1_High income,IBRD,
18283,CHN,Asia,China,2021-06-15,91544.0,21.0,25.285999999999998,4636.0,0.0,0.0,63.602,0.015,0.018000000000000002,3.221,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,923910000.0,,,19776000.0,16421143.0,64.19,,,11409.0,75.46,1439323774.0,147.674,38.7,10.640999999999998,5.928999999999999,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.7609999999999999,,China,CHN,East Asia & Pacific,2_Upper middle income,IBRD,
18772,COL,South America,Colombia,2021-06-15,3802052.0,24452.0,27207.142999999996,96965.0,599.0,577.429,74721.629,480.555,534.701,1905.651,11.772,11.347999999999999,1.07,,,,,,,,,87647.0,18292823.0,359.50800000000004,1.723,92707.0,1.8219999999999998,0.32899999999999996,3.0,tests performed,,,,,212523.0,,,,4177.0,70.37,50882884.0,44.223,32.2,7.646,4.312,13254.948999999999,4.5,124.24,7.44,4.7,13.5,65.38600000000001,1.71,77.29,0.767,,Colombia,COL,Latin America & Caribbean,2_Upper middle income,IBRD,
19206,COM,Africa,Comoros,2021-06-15,3901.0,0.0,1.571,146.0,0.0,0.0,4485.996,0.0,1.807,167.894,0.0,0.0,0.91,,,,,,,,,,,,,,,,,,,,,,241.0,,,,277.0,,869595.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.51599999999996,11.88,4.4,23.6,15.574000000000002,2.2,64.32,0.5539999999999999,,Comoros,COM,Sub-Saharan Africa,3_Lower middle income,IDA,HIPC
19686,COG,Africa,Congo,2021-06-15,12121.0,0.0,13.571,160.0,0.0,0.429,2196.593,0.0,2.459,28.996,0.0,0.078,0.63,,,,,,,,,,,,,,,,,,62231.0,62231.0,,1486.0,969.0,1.13,1.13,,176.0,50.93,5518092.0,15.405,19.0,3.4019999999999997,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,,"Congo, Rep.",COG,Sub-Saharan Africa,3_Lower middle income,Blend,HIPC
20175,CRI,North America,Costa Rica,2021-06-15,345312.0,1708.0,1641.714,4407.0,19.0,22.285999999999998,67786.469,335.289,322.277,865.1160000000001,3.73,4.375,0.96,,,,,,,,,6297.0,1127025.0,221.24099999999999,1.236,6975.0,1.369,0.188,5.3,people tested,,,,,33143.0,,,,6506.0,55.56,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,80.28,0.81,,Costa Rica,CRI,Latin America & Caribbean,2_Upper middle income,IBRD,
20659,CIV,Africa,Cote d'Ivoire,2021-06-15,47909.0,149.0,56.857,306.0,0.0,0.0,1816.229,5.649,2.155,11.6,0.0,0.0,1.14,,,,,,,,,1777.0,677515.0,25.685,0.067,2033.0,0.077,0.027999999999999997,35.8,samples tested,705051.0,705051.0,,10101.0,11324.0,2.67,2.67,,429.0,17.59,26378275.0,76.399,18.7,2.9330000000000003,1.5819999999999999,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.5379999999999999,,Côte d'Ivoire,CIV,Sub-Saharan Africa,3_Lower middle income,IDA,HIPC
21158,HRV,Europe,Croatia,2021-06-15,358677.0,96.0,127.286,8160.0,8.0,9.142999999999999,87369.935,23.385,31.005,1987.69,1.949,2.227,0.58,,,372.0,90.615,,,,,5924.0,2086716.0,508.30199999999996,1.443,4669.0,1.137,0.027000000000000003,36.7,people tested,2196552.0,1427566.0,768986.0,31678.0,35538.0,53.51,34.77,18.73,8657.0,38.89,4105268.0,73.726,44.0,19.724,13.052999999999999,22669.797000000002,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,,Croatia,HRV,Europe & Central Asia,1_High income,IBRD,
21641,CUB,North America,Cuba,2021-06-15,160594.0,1537.0,1333.5710000000001,1106.0,8.0,10.429,14178.462,135.69799999999998,117.738,97.646,0.706,0.9209999999999999,1.14,,,,,,,,,19791.0,4677671.0,412.98,1.7469999999999999,21198.0,1.8719999999999999,0.063,15.9,tests performed,4084278.0,2094260.0,733460.0,235872.0,152573.0,36.06,18.49,6.48,13470.0,78.24,11326616.0,110.40799999999999,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.7829999999999999,,Cuba,CUB,Latin America & Caribbean,2_Upper middle income,,
21742,CUW,North America,Curacao,2021-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162453.0,87525.0,74928.0,429.0,497.0,99.0,53.34,45.66,3029.0,,164100.0,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,Curaçao,CUW,Latin America & Caribbean,1_High income,,
22228,CYP,Europe,Cyprus,2021-06-15,73311.0,64.0,56.0,374.0,0.0,1.286,82556.968,72.072,63.063,421.16900000000004,0.0,1.4480000000000002,1.08,8.0,9.009,32.0,36.036,,,,,35729.0,7668213.0,8635.326,40.235,41841.0,47.118,0.001,747.2,tests performed,718775.0,436280.0,282495.0,,8102.0,80.94,49.13,31.81,9124.0,43.52,888005.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,,Cyprus,CYP,Europe & Central Asia,1_High income,,EMU
22722,CZE,Europe,Czechia,2021-06-15,1665327.0,189.0,189.857,30229.0,0.0,5.143,155507.49800000002,17.649,17.729,2822.7709999999997,0.0,0.48,0.58,19.0,1.774,141.0,13.167,,,,,182314.0,,,17.024,152842.0,14.272,0.001,1000.0,tests performed,6807004.0,4630552.0,2248309.0,114005.0,96904.0,63.56,43.24,20.99,9049.0,41.67,10708982.0,137.17600000000002,43.3,19.027,11.58,32605.906000000003,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,,Czech Republic,CZE,Europe & Central Asia,1_High income,,
23206,COD,Africa,Democratic Republic of Congo,2021-06-15,35918.0,250.0,334.42900000000003,854.0,8.0,5.2860000000000005,401.043,2.7910000000000004,3.734,9.535,0.08900000000000001,0.059000000000000004,1.25,,,,,,,,,1003.0,,,0.011000000000000001,1903.0,0.021,0.17600000000000002,5.7,samples tested,,,,,1053.0,,,,12.0,39.81,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68,0.48,,"Congo, Dem. Rep.",COD,Sub-Saharan Africa,4_Low income,IDA,HIPC
